post_id: M.1615940364.A.006
date: 2021-03-17
title: Re: [閒聊] 老公老婆辛勞看法
content:
作者dodoru (jomi)看板marriage標題Re: [閒聊] 老公老婆辛勞看法時間Wed Mar 17 08:19:22 2021



類似這種討論好像都會出現極端值
譬如有些人做一件事情可以做得特別久特別仔細到不可思議
或是某某某、誰誰誰的朋友什麼都不做老公還不是很疼她
或出現一些全能型神人，又被不少覺得當100分媽媽很累，
彷彿最初的原PO要求到多完美



回歸比較不那麼極端的一般人
我是認為夫妻做事比較像是協作的同事
有工作就會有產值的比較性，也是很自然的
即使不顯性計算，會變成隱性的計算

夫妻若決定一人扛經濟，一人做家管
賺錢的固然不宜拿出老闆姿態
但當彼此是協作的同事，工作份量卻太不均時
很難完全不產生計較介意的心理
工作份量差距到7：3，甚至8:2的話
令人很難用能者多勞來說服自己活該要擔多一點
最差也要到6:4讓人比較不會起計較之心


我認為所謂夫妻不要太計較
是兩人都發揮自己專業度去達到自己的付出
且兩人付出值是比較相等的狀況，有些比較難以量化的部分的確不用太計較

而不是工作份量分配太不均，而要多負擔的人不計較
或是把什麼都賴給難以量化，索性不做或做得極少


原文的狀況我認為先生希望太太做菜尚算合理
是因為以操持過家務的狀況來評估
太太即便加入煮晚餐這項，整體工作量其實還是偏輕鬆的，
但是這樣的輕鬆度是另一半相對應的同事應比較能接受的程度
若是沒有煮飯這項，白天真的是空到沒有什麼主力項目可言
剩餘的雜事其實不需要到半天的工時 (甚至不需要3HR)


若真的很不願意煮飯
那就變成要看能擔下什麼工作補剩下的工作量不足之處
我不覺得家管要很全能或當什麼100分媽媽/老婆
也認為即使有神人分享，也不用去學那種全能型的神人，
因為如果無法全能只會變成樣樣碰樣樣鬆都做不好，
還不如專精其中一些部分

我也有碰過比較擅長教學的媽媽，
不煮飯但白天備教材晚上教小孩，她能教的領域還真的蠻多的
這也是一種增加其他工作的方式

選擇家管這份工作
不代表要做到100分才可以
但也不代表工作份量、工作品質完全都不能被拿出來衡量評估以及調整
只因為家管的付出就是不可計算不可量化 的奇怪觀念
變得要非常隱晦


而且既然是單薪家庭
我相信賺錢那方應該不至於是只賺兩三萬，
然後只丟一萬多給家裡
(如果是這樣  那我就覺得太太不再增加其他工作量合理)
推 ytwu        : 再怎麼喜歡的工作都是一天至少8-9小時的不自由，有 03/17 08:59
→ ytwu        : 時還要面對機車人 03/17 08:59
推 mtyc        : 我不懂的是網友為啥要預設立場去批評 03/17 08:59
→ yaokut      : 所以就會出現兩種態度：一種就是那是妳的責任，本來 03/17 08:59
→ dodoru      : 所以我前面一篇文章覺得與其暗示到讓人不爽，還不如 03/17 09:00
→ dodoru      : 明說，工作量太不對等本就容易累積問題，即便講白了 03/17 09:00
→ dodoru      : 可能也會有爭執，工作量都是需要重新調配的。太太如 03/17 09:00
→ dodoru      : 果還是不想做飯ok，但那就要自己另外找相對應工作量 03/17 09:00
→ dodoru      : 來補啊。 03/17 09:00
→ yaokut      : 就該扛，一種是既然不喜歡，有個誘因，至少可以甘願 03/17 09:00
→ ytwu        : 不開心就可以不工作是要有前提的-足夠的存款、可以 03/17 09:00
→ ytwu        : 找到下一份工作 03/17 09:00
→ yaokut      : 點做。 看想用哪一種都可以，就是把這些都具體化~ 03/17 09:01
→ yaokut      : 看要怎麼去討論。 03/17 09:01
→ nanalia     : 她要拿什麼工作來補？ 03/17 09:01
推 ror         : 我的意思是說你要討論分工，總要雙方去客觀審視量 03/17 09:02
推 marktak     : 那是情感 不是工作 03/17 09:03
→ ror         : 而不是說一句話我很忙，你不能逼我 03/17 09:03
→ marktak     : 你們對生活毫無想像力 這就是台灣 03/17 09:03
推 susanna026  : 沒錢 要餓著肚子 跟誰討誘因？像就只做那點事 去外 03/17 09:03
→ susanna026  : 面跟老闆拍桌 說要領10萬？誰要理妳呢？ 03/17 09:03
推 ytwu        : 其實太太沒意識到自己不願扛煮飯的同時是先生在扛， 03/17 09:03
→ ytwu        : 但從來沒人問過先生是不是開心扛這項工作。當然如果 03/17 09:03
→ ytwu        : 認為自煮比外食貴，就不算是先生額外扛 03/17 09:03
→ marktak     : 不能進UN的原因 03/17 09:03
→ ror         : 不想煮飯當然OK的，但如果對方感受到工作量太不對等 03/17 09:04
→ squirrelgirl: 我覺得先生也沒有兇 03/17 09:04
→ ror         : 那長久下來於情於理，對感情是不利的 03/17 09:05
→ nanalia     : 那晚上先生煮飯帶孩子 太太去職夜班賺錢 這樣可以嗎 03/17 09:05
→ nanalia     : ？ 03/17 09:05
→ nanalia     : 前面一堆吵的就是對工作量的感受 跟你上班做一堆事 03/17 09:06
→ nanalia     : 你老闆還是覺得不夠一樣的 03/17 09:06
→ dodoru      : 煮飯只是其中一項比較實際可行的工作，如果不願做 03/17 09:07
→ dodoru      : 那也可自行提案其他工作來填補目前明顯不足的工作量 03/17 09:07
→ dodoru      : ，不然說真的白天工作個三小時，那先生負責賺錢不就 03/17 09:07
→ dodoru      : 也可個4hr便利商店打工就好，反正有做就算數，還可 03/17 09:07
→ dodoru      : 以早早回家呢。 03/17 09:07
推 xulu0       : 先生是希望老婆煮飯，但沒說自己工作不開心吧？ 03/17 09:08
→ xulu0       : 我覺得他會想老婆反應煮飯的問題，那他如果工作不開 03/17 09:08
→ xulu0       : 心應該也會自己講不用特別去問吧？ 03/17 09:09
→ xulu0       : 而且這樣對話會變很奇怪，老公請老婆煮飯，老婆回問 03/17 09:09
→ xulu0       : 老公你是不是工作不開心？ 03/17 09:09
→ nanalia     : 家只要有一個人不開心 回來臭臉的 全家人都感受的到 03/17 09:10
→ mtyc        : ..........不知道是真不懂還是裝傻 03/17 09:12
推 ytwu        : 回來臭臉那也不會怎樣啊，全台灣有多少人是不開心上 03/17 09:13
→ ytwu        : 班的，我想大概有一半以上吧！難道他們都可以說不開 03/17 09:13
→ ytwu        : 心老子/老娘不幹了嗎？不可能吧！大部分人還是要屈 03/17 09:13
→ ytwu        : 就現實經濟壓力 03/17 09:13
→ mtyc        : 就是用你原本的邏輯去反問你的 03/17 09:13
推 candyrainbow: 我覺得這篇文章寫得很好啊，為什麼推文又變成鬼打 03/17 09:14
→ candyrainbow: 牆了... 03/17 09:14
→ nanalia     : 整串都沒有人講到重點啊？怎樣讓原po太太開心的煮飯 03/17 09:17
推 anniekinki  : 原原po其實就溝通方式的問題 03/17 09:18
→ nanalia     : 那一堆神人主婦例子 還是眾版友都覺得你太閒因該多 03/17 09:18
→ nanalia     : 付出一點 只會讓她太太更生氣吧 03/17 09:18
推 bluevillage : 這篇很中肯，但原文太太明顯不是這樣想的 03/17 09:19
→ anniekinki  : 同意夫妻就是協作的同事 03/17 09:19
→ bluevillage : 我是覺得要捫心自問一下自己對家庭的必要性有多高 03/17 09:20
推 ytwu        : 可以不開心就不管留給另一半做，其實是在消磨愛， 03/17 09:20
→ ytwu        : 還是彼此好好溝通，不能只顧自己開不開心 03/17 09:20
→ bluevillage : 只想做簡單輕鬆的工作、賴著一方生活，遲早會出問題 03/17 09:21
推 ytwu        : 我說的「做」不單只是行為上的做，要另一半出錢解決 03/17 09:24
→ ytwu        : 其實也是，譬如一天多花500其實大概就相當於另一半 03/17 09:24
→ ytwu        : 白天工作1-1.5小時換錢來做自己不想做的事，不要以 03/17 09:24
→ ytwu        : 為錢是從天上掉下來的 03/17 09:24
→ nanalia     : 做的不開心長久下來 也是消磨愛呀 03/17 09:24
→ bluevillage : 所以出去外面工作的都永遠是開心沒壓力的?? 03/17 09:25
推 ytwu        : 所以兩個人要溝通呀，不是單方面的我不開心囉，要你 03/17 09:25
→ ytwu        : 做/我不要做 03/17 09:25
→ nanalia     : 發薪水時候開心啊 前面辛苦都忘了 03/17 09:26
→ bluevillage : 那所以當家管要幹麼??在家這麼不開心就去工作啊 03/17 09:27
→ bluevillage : 喔我忘了，如果叫太太出去工作太太又會不開心了喔 03/17 09:27
→ bluevillage : 總之就是當先生的就要讓太太高興，自己在外面被老闆 03/17 09:28
推 ror         : 別氣啦，這明顯故意跳針來釣魚的XD 03/17 09:28
推 ytwu        : 「發薪水時就開心，前面辛苦都忘了」熊熊讓我覺得主 03/17 09:28
→ ytwu        : 外方好作賤自己@@ 03/17 09:28
→ bluevillage : 電到死，回家太太數落錢賺不夠都要扛就對了 03/17 09:28
→ bluevillage : 這倒底啥邏輯 03/17 09:28
→ nanalia     : 不是嗎 ？工作最開心時候領薪水呀 03/17 09:31
推 ytwu        : 領薪水時開心不代表過去一個月工作的不開心可以立 03/17 09:37
→ ytwu        : 刻歸零，而且看到薪水條時大概只會開心5秒鐘；更不 03/17 09:37
→ ytwu        : 要說也有可能看到薪水條火大：怎麼加班時數被少算、 03/17 09:37
→ ytwu        : 勞健保扣這麼多、福利金又扣了多少 03/17 09:37
推 ror         : Y大，建議你A一下ID，再決定要不要繼續回 03/17 09:39
推 xulu0       : 我工作最開心的時候是我終於完成屎任務的時候，覺得 03/17 09:40
→ ytwu        : 我可能太閒了？哈，開工！ 03/17 09:40
→ xulu0       : 我好像又克服了什麼莫名的有成就感 03/17 09:40
推 amida959    : 原篇不是有回饋說老婆有意願增加工作嗎？她也沒有 03/17 09:45
→ amida959    : 覺得老公賺錢給她花很應該吧？討論到後來都是你講 03/17 09:45
→ amida959    : 你的我講我的...這篇說的很對 其實很多分享都是極 03/17 09:45
→ amida959    : 端值不值得參考的 依照自己小家庭的需求溝通就好 03/17 09:45
推 hotaka      : 我覺得看家人滿足地吃完我煮的料理，說我煮的最好 03/17 09:46
→ hotaka      : 吃，也開心得忘記煮飯的辛苦了 03/17 09:46
→ julion555   : 最初的問題都很單純 吵到最後被網友失焦了 03/17 10:32
→ catlyeko    : 推這篇 03/17 10:58
推 mamajustgo  : 如果太太面對先生期望下廚的反應是：我很忙或沒時 03/17 11:10
→ mamajustgo  : 間或這不是我的工作或要煮你自己煮或我不想，那， 03/17 11:10
→ mamajustgo  : 先生在面對太太期望假日帶全家出遊時持同樣的態度回 03/17 11:10
→ mamajustgo  : 拒就會是合理的 03/17 11:10
→ mamajustgo  : 在答應跟拒絕間有很大的溝通空間，面對伴侶的期望也 03/17 11:12
→ mamajustgo  : 有很多種方式回應，真的不用往極端的方向去走，除非 03/17 11:12
→ mamajustgo  : 結婚的目的是為了體驗離婚XD 03/17 11:12
推 LuciusMalfoy: 我也覺得是極端值 現在市面半成品很多 把冷凍熟肉弄 03/17 11:46
→ LuciusMalfoy: 熱再炒個青菜很快 不知道原原PO先生接不接受就是 03/17 11:47
→ nanalia     : 如果只是冷凍加熱自己動手就好了 幹嘛還要麻煩另一 03/17 11:58
→ nanalia     : 半 03/17 11:58
→ mamajustgo  : 呃，關鍵點在「面對另一半的期待如何回應」吧？ 03/17 12:03
噓 louise13    : 你叫女生出去賺，$拿回家，你看看她的嘴臉長什麼樣 03/17 12:06
→ louise13    : 子 03/17 12:06
推 alicevvn    : 那樣要叫太太停餵母奶，不然餵母奶就很煩了 03/17 12:15
推 snowtoya    : 我也覺得原文寫得挺合理的，看不懂推文在鬼打牆什 03/17 13:02
→ snowtoya    : 麼 03/17 13:02
→ dodoru      : 我文中也有提到啦，有神人主婦不代表大家就一定要 03/17 13:56
→ dodoru      : 比照一樣當個100分主婦，但也不代表工作量和工作品 03/17 13:56
→ dodoru      : 質是不能拿來衡量評估和調整。原篇太太問題是在於 03/17 13:56
→ dodoru      : 白天工作量明顯不足，至少還需增加一倍量，不選擇 03/17 13:56
→ dodoru      : 增加煮飯項目也得增加其他工作做。 03/17 13:56
→ dodoru      : 不然白天工作量懸差這麼大，也不是個適合長久的方式 03/17 14:59
→ hotaka      : 如果要算工作量那晚上假日也要一併考量，畢竟也不 03/17 15:19
→ hotaka      : 知道晚上假日分配如何，若太太包了八成以上，那工 03/17 15:19
→ hotaka      : 作量並沒有差很多 03/17 15:19
→ hotaka      : 前幾個月我同事太太生第二胎，也是家管請保母，有 03/17 15:24
→ hotaka      : 幾個同事也是私底下碎嘴太太公主沒工作還不帶小孩 03/17 15:24
→ hotaka      : 什麼的。但那位同事公事私務都很忙基本沒什麼在顧 03/17 15:24
→ hotaka      : 小孩，平日晚上跟六日都是太太一打二+全包家事，這 03/17 15:24
→ hotaka      : 種我就不認為請保母讓她平日白天清閒一下有何不可 03/17 15:24
推 xulu0       : 如果平日晚上跟六日都是太太一打二+家事全包，那白 03/17 15:27
→ xulu0       : 天應該是太太的休息補眠時光 03/17 15:27
推 ytwu        : 我猜晚上及假日應該差不多平分，否則太太的反駁點就 03/17 15:28
→ ytwu        : 不會是她白天有燒開水做點心了XD 03/17 15:28
→ ytwu        : 晚上及假日做很多這是很好的反駁理由，如果真的是太 03/17 15:30
→ ytwu        : 太分擔比較多想不出來太太為什麼不拿這個來反駁 03/17 15:30
推 hotaka      : 不知道他們討論的時候是怎麼樣的情境，不好判斷是 03/17 15:35
→ hotaka      : 沒得反駁還是不會反駁 03/17 15:35
→ hotaka      : 畢竟有些人是不太靈敏不會講話滿手好牌打到滿盤皆 03/17 15:37
→ hotaka      : 輸的 03/17 15:37
推 qazqaz0     : 對 但我覺得原po每週有2天要老婆單獨1打2也要考慮下 03/17 15:50
→ qazqaz0     : 去（晚上超級爆炸忙）  或許可以改成另外3天煮 03/17 15:50
→ dodoru      : 我不是完全沒有把晚上的部分考慮進去喔，我知道原 03/17 15:51
→ dodoru      : 文太太有照顧到小孩，假日也太可能沒有，但有小孩 03/17 15:51
→ dodoru      : 本就需要照顧，一般人即便晚上需照顧小孩，假日要 03/17 15:51
→ dodoru      : 陪小孩，白天也還是要工作呀，有小孩的人本就是白 03/17 15:51
→ dodoru      : 天晚上皆有工作要做。 03/17 15:51
推 xulu0       : 主要還是看是不是家事育兒全包，雙薪家庭是分擔的 03/17 15:53
→ xulu0       : 如果是分擔的，老公對白天的事情不平衡也算情理之中 03/17 15:55
推 hotaka      : 我是覺得不需要限制於有小孩的人本來就白天晚上皆 03/17 15:57
→ hotaka      : 有工作要做這種想法，既然花錢請保母就是要讓兩個 03/17 15:57
→ hotaka      : 人都減輕負擔。先生平日上班，、晚上假日休息稍微 03/17 15:57
→ hotaka      : cover太太，太太晚上假日主力帶小孩、平日白天處理 03/17 15:57
→ hotaka      : 家事及休息，這樣比較平衡跟健康吧 03/17 15:57
→ dodoru      : 而且也已經是用比較鬆的算法，目前白天原po老婆白 03/17 15:58
→ dodoru      : 天做的事就算加上煮飯其實是可以慢慢做5、6個小時 03/17 15:58
→ dodoru      : 內吧解決的，也沒要她塞到白天8-9小時工作量，已算 03/17 15:58
→ dodoru      : 有多抓一點不要太計較的空閒。 03/17 15:58
→ hotaka      : 都減少太太一份收入加花錢請保母了，還弄得跟雙薪 03/17 15:59
→ hotaka      : 家庭一樣白天晚上都有工作要做我是覺得太不划算了 03/17 15:59
→ hotaka      : 當然前提是太太要是晚上假日的育兒主力啦 03/17 16:01
推 verystupid  : 推 03/17 16:27
→ dodoru      : 我覺得很難不白天、晚上都做到事 03/17 16:30
→ dodoru      : 只是不需要像雙薪又接著回家帶小孩一樣白天+晚上動 03/17 16:31
→ dodoru      : 輒衝破12小時。 03/17 16:34
→ bluevillage : 我一直不太懂幫原文太太說話的有沒有搞清楚一點， 03/17 16:37
→ bluevillage : 就是女方不用帶小孩，她白天8點到下午4點的時間是完 03/17 16:38
→ bluevillage : 整、完全不會被切碎的，這種情況下做文章陳列的家事 03/17 16:38
→ bluevillage : 量，明顯就是會有至少一半以上的時間沒有特別的事做 03/17 16:39
→ bluevillage : 下午4點後也不是他一個人一打二，老公基本都是7點到 03/17 16:39
→ bluevillage : 家，這樣還要說很累很忙到底是?? 03/17 16:42
推 alicevvn    : 女方要擠奶吧 03/17 17:18
推 amida959    : 上面那位要討論可不可以自己回頭看原文不要假設有 03/17 17:29
→ amida959    : 的沒的 人家夫妻可沒吵架或覺得自己很忙很累 只是 03/17 17:29
→ amida959    : 希望溝通白天能利用時間多做些事 後來也有共識了 03/17 17:29
→ amida959    : 就是像妳這種隨便延伸才討論沒完沒了 03/17 17:31
推 katsurada   : 一堆回文推文根本就是要原po去找老婆吵架啊 其實原 03/17 18:31
→ katsurada   : po就是缺乏有效溝通 在那裡老婆多廢自己多厲害能對 03/17 18:31
→ katsurada   : 他們有幫助嗎 03/17 18:31
推 happystill  : 推hotaka！我老公也這樣說！我竟然忘記了XD我老公基 03/17 18:34
→ happystill  : 本只會問我白天有沒有休息～ 03/17 18:34
推 jader       : 大推這篇 很理性的分析 03/17 20:19
推 Sourxd      : 推 hotaka 和 amida959 03/17 21:37
推 cake0885rn  : 推這篇，婚姻是要彼此協調的 03/18 01:16
